Matricula,Nome,CPF,Idade,Genero,EstadoCivil,PortadorNecessidadesEspeciais,PossuiCriancaMenorQue4anos,GrauEscolaridade,AreaFormacao,TreinamentoUltimoAno,Cargo,NivelCargo,AnosEmpresa,AnosCargoAtual,TipoProjeto,HorarioFlexivel,ViagemNegocios,OportunidadeUsarPlenamenteHabilidadesTrabalho,Departamento,AnosAtualGestor,Salario,PercepcaoValorBeneficios,AnosDesdeUltimaPromocao,RecebeuParticipacaoLucrosResultadosUltimos3anos,DistanciaCasa,TipoTransporte,ModalidadeTrabalho,SatisfacaoGestor,SatisfacaoRelacionamentoColegas,SatisfaçãoTrabalho,NívelEnvolvimentoTrabalho,AvaliacaoDesempenho,Absenteismo,HoraExtra,EquilíbrioEntreVidaProfissionalPessoal,Demitido
670,Helena Gomes Guimarães,103.223.088-60,26,Feminino,Divorciado,Não,Não,3,Ciência da Computação,6,Diretor(a) de Operações,2,6,5,Outros,Sim,Frequentemente_Viaja,1,Pesquisa e Desenvolvimento (P&D),4,11514.6,1,1,Não,1,Transporte público,Presencial,2,1,2,3,4,0,Não,1,Não
671,Manoel Freitas Gomes,991.532.796-03,28,Masculino,Casado,Não,Não,4,Bioinformática,2,Analista de QA,1,6,5,Sustentação,Não,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),3,3835.2,1,3,Não,19,Carro Próprio,Remoto,1,3,1,2,3,4,Não,3,Sim
672,Nicolas Fernandes Cunha,365.467.570-01,24,Masculino,Casado,Não,Não,3,Bioinformática,3,Engenheiro(a) de Machine Learning,1,6,5,Sustentação,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),4,3542.5,3,1,Não,23,Carro Próprio,Remoto,4,2,4,4,3,0,Sim,3,Não
673,Vinicius Cardoso Bastos,167.355.679-51,34,Masculino,Casado,Não,Não,2,Ciência da Computação,3,Engenheiro(a) de Machine Learning,1,6,5,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),3,4708.6,4,1,Não,1,Transporte público,Presencial,4,4,4,2,3,3,Sim,3,Sim
674,Vera Miranda Moraes,940.172.262-56,27,Feminino,Divorciado,Não,Não,1,Bioinformática,3,Executivo(a) de Contas,2,6,5,Outros,Sim,Frequentemente_Viaja,4,Vendas,4,4647,2,0,Não,3,Carro Próprio,Remoto,4,2,4,4,4,0,Sim,3,Não
675,Simone Guimarães Souza,183.363.947-29,34,Feminino,Solteiro,Não,Não,4,Bioinformática,3,Engenheiro(a) de Machine Learning,1,6,5,Sustentação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),3,5695.3,4,1,Não,2,Transporte público,Presencial,1,3,1,2,3,4,Não,3,Sim
676,Murilo Moraes Monteiro,344.939.728-15,35,Masculino,Solteiro,Sim,Não,3,Bioinformática,3,Engenheiro(a) de Machine Learning,1,6,4,Inovação,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),4,3716.7,1,0,Não,1,Transporte público,Remoto,3,1,3,2,3,0,Não,3,Não
677,Breno Ferreira Ribeiro,971.877.941-85,56,Masculino,Solteiro,Não,Não,3,Ciência da Computação,3,Diretor(a) de Operações,3,6,4,Outros,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),2,10890,1,0,Não,7,Transporte público,Presencial,4,1,4,1,3,0,Não,2,Sim
678,Enzo Silva Martins,458.088.282-28,37,Masculino,Divorciado,Não,Não,4,Bioinformática,2,Executivo(a) de Contas,2,6,3,Outros,Sim,Frequentemente_Viaja,3,Vendas,3,9525,4,1,Não,1,Carro Próprio,Presencial,3,3,4,1,3,4,Não,2,Sim
679,Pedro Monteiro Cavalcanti,543.480.928-93,32,Masculino,Solteiro,Não,Não,1,Curso Técnico,5,Analista de QA,2,6,2,Sustentação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),4,2611.2,2,0,Não,2,Outro,Remoto,2,4,1,2,3,0,Não,3,Sim
680,Luiz Moraes Nascimento,907.804.524-88,45,Masculino,Solteiro,Não,Não,4,Bioinformática,3,Analista de RH,1,6,3,Outros,Não,Raramente_Viaja,3,Recursos Humanos,4,2177,3,0,Não,24,Outro,Remoto,1,1,2,3,3,0,Não,3,Não
681,Raquel Guimarães Fernandes,243.880.991-47,33,Feminino,Casado,Não,Sim,4,Outros ,2,Arquiteto(a) de Soluções,2,6,5,Inovação,Sim,Frequentemente_Viaja,3,Pesquisa e Desenvolvimento (P&D),2,6942.32,3,1,Não,1,Transporte público,Remoto,3,1,2,4,3,0,Sim,3,Não
682,Lucas Ferreira Peixoto,036.384.974-29,36,Masculino,Solteiro,Não,Não,4,Outros ,6,Engenheiro(a) de Machine Learning,1,6,2,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),1,6081.4,1,0,Não,7,Transporte público,Remoto,3,3,4,3,3,0,Não,3,Não
683,Pedro Moraes Lima,592.200.712-23,29,Masculino,Solteiro,Não,Não,3,Ciência da Computação,1,Engenheiro(a) de Machine Learning,1,6,5,Sustentação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),5,3042,2,1,Não,15,Transporte público,Presencial,3,1,4,3,3,0,Não,3,Não
684,Aline Azevedo Ribeiro,652.131.312-63,24,Feminino,Solteiro,Não,Não,1,Curso Técnico,2,Engenheiro(a) de Machine Learning,1,6,3,Sustentação,Sim,Frequentemente_Viaja,3,Pesquisa e Desenvolvimento (P&D),3,4888,4,1,Não,2,Transporte público,Remoto,3,3,4,3,3,3,Sim,3,Não
685,Paulo Siqueira Pereira,323.149.986-00,27,Masculino,Solteiro,Não,Não,1,Ciência da Computação,3,Executivo(a) de Contas,2,6,2,Outros,Sim,Frequentemente_Viaja,4,Vendas,0,5071,4,0,Não,2,Outro,Presencial,3,2,4,1,4,3,Não,3,Sim
686,Adriana Silva Guimarães,625.193.448-49,54,Feminino,Casado,Não,Sim,3,Marketing,4,Executivo(a) de Contas,2,6,2,Outros,Sim,Raramente_Viaja,2,Vendas,5,5940,4,0,Não,3,Carro Próprio,Presencial,1,4,1,3,3,1,Não,3,Não
687,Eduardo Ribeiro Nascimento,977.097.172-33,45,Masculino,Solteiro,Não,Sim,3,Bioinformática,2,Engenheiro(a) de Machine Learning,1,6,5,Sustentação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),3,4487.6,3,0,Não,29,Carro Próprio,Remoto,4,2,4,3,3,3,Não,2,Não
688,Bernardo Monteiro Guimarães,929.066.886-57,33,Masculino,Divorciado,Não,Não,4,Bioinformática,5,Executivo(a) de Contas,2,6,2,Outros,Não,Raramente_Viaja,3,Vendas,4,5505,1,0,Não,2,Transporte público,Presencial,3,3,4,3,3,0,Não,3,Não
689,Antônio Moreira Carvalho,575.333.202-12,47,Masculino,Casado,Não,Não,3,Curso Técnico,2,Engenheiro(a) de Machine Learning,1,6,5,Inovação,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),2,4446,1,1,Não,1,Carro Próprio,Remoto,4,3,4,3,3,0,Não,2,Não
690,Alexandre Carvalho Lopes,772.000.682-84,37,Masculino,Solteiro,Não,Não,2,Curso Técnico,2,Analista de QA,1,6,5,Inovação,Sim,Nao_Viaja,2,Pesquisa e Desenvolvimento (P&D),3,4200,1,1,Não,5,Carro Próprio,Remoto,3,1,3,4,3,0,Não,1,Não
691,Fernando Carvalho Cavalcanti,197.552.570-12,38,Masculino,Casado,Não,Não,4,Outros ,2,Analista de RH,1,6,2,Outros,Sim,Frequentemente_Viaja,3,Recursos Humanos,2,2991,4,1,Não,1,Transporte público,Presencial,2,2,2,3,3,0,Sim,3,Não
692,Samuel Nascimento Castro,014.203.831-83,26,Masculino,Solteiro,Não,Não,1,Curso Técnico,2,Engenheiro(a) de Machine Learning,1,6,4,Sustentação,Sim,Frequentemente_Viaja,2,Pesquisa e Desenvolvimento (P&D),4,4032.6,1,0,Não,3,Outro,Remoto,2,3,1,3,4,2,Não,3,Não
693,Pedro Henrique Martins Rocha,719.223.580-61,27,Masculino,Casado,Não,Não,3,Ciência da Computação,0,Diretor(a) de Operações,2,6,2,Outros,Sim,Raramente_Viaja,1,Pesquisa e Desenvolvimento (P&D),3,11055.6,4,0,Não,4,Carro Próprio,Remoto,3,2,2,4,4,0,Sim,3,Não
694,Samuel Miranda Almeida,749.739.221-29,25,Masculino,Solteiro,Não,Não,3,Marketing,1,Executivo(a) de Contas,2,6,4,Outros,Sim,Raramente_Viaja,3,Vendas,3,5744,3,0,Não,5,Transporte público,Presencial,3,4,3,2,3,0,Sim,3,Sim
695,Felipe Teixeira Castro,950.875.412-59,23,Masculino,Solteiro,Não,Não,2,Outros ,6,Analista de QA,1,5,2,Inovação,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),4,3176.4,2,1,Não,12,Carro Próprio,Remoto,4,3,4,3,3,0,Não,4,Não
696,Vitoria Cardoso Gomes,401.960.569-69,24,Feminino,Solteiro,Não,Não,1,Curso Técnico,4,SDR (Sales Development Representative),1,5,3,Outros,Não,Raramente_Viaja,2,Vendas,4,3842.4,4,1,Não,1,Outro,Presencial,2,2,2,3,3,0,Sim,3,Não
697,José Cunha Bastos,619.349.269-06,27,Masculino,Divorciado,Não,Não,2,Ciência da Computação,2,Engenheiro(a) de Machine Learning,1,5,3,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),3,3272.1,2,0,Não,4,Outro,Remoto,2,2,3,3,3,0,Não,3,Não
698,Rita Pires Vieira,839.146.188-25,47,Feminino,Solteiro,Não,Não,2,Ciência da Computação,2,Executivo(a) de Contas,2,5,4,Outros,Não,Frequentemente_Viaja,4,Vendas,3,6397,1,1,Não,27,Carro Próprio,Remoto,2,4,3,4,3,0,Sim,3,Não
699,Vitor Soares Souza,165.619.603-43,55,Masculino,Casado,Não,Não,3,Bioinformática,2,Gerente de Projetos,5,5,2,Sustentação,Não,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),4,19859,4,1,Não,2,Outro,Remoto,2,4,1,3,3,3,Sim,3,Não
700,Raimundo Lopes Castro,075.350.555-08,49,Masculino,Casado,Não,Não,1,Ciência da Computação,3,Diretor(a) de Tecnologia,5,5,4,Outros,Sim,Frequentemente_Viaja,3,Pesquisa e Desenvolvimento (P&D),3,24909.3,2,4,Não,2,Carro Próprio,Remoto,4,4,4,3,3,0,Não,3,Não
701,Leandro Fernandes Dias,858.306.169-63,35,Masculino,Casado,Não,Não,4,Bioinformática,2,Executivo(a) de Contas,2,5,3,Outros,Sim,Raramente_Viaja,1,Vendas,4,5561,4,0,Não,18,Transporte público,Presencial,2,4,1,3,3,0,Não,1,Não
702,Mariana Pereira Ferreira,080.187.025-94,33,Feminino,Casado,Não,Não,4,Bioinformática,5,Analista de QA,1,5,4,Sustentação,Não,Raramente_Viaja,1,Pesquisa e Desenvolvimento (P&D),2,4605.6,2,0,Não,4,Outro,Remoto,2,4,2,2,3,0,Não,3,Não
703,Claudia Teixeira Correia,538.552.168-00,47,Feminino,Casado,Não,Não,3,Bioinformática,4,Executivo(a) de Contas,2,5,4,Inovação,Sim,Raramente_Viaja,3,Vendas,2,4591,1,1,Não,14,Outro,Presencial,4,3,3,3,3,0,Sim,2,Não
704,Hugo Lopes Monteiro,331.850.900-04,27,Masculino,Casado,Não,Não,1,Ciência da Computação,3,Analista de QA,1,5,0,Inovação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),4,2518.8,1,1,Não,11,Carro Próprio,Remoto,1,2,1,3,3,0,Não,4,Sim
705,Patricia Ramos Cardoso,535.250.233-32,24,Feminino,Casado,Não,Não,1,Bioinformática,3,Executivo(a) de Contas,2,5,4,Inovação,Não,Raramente_Viaja,4,Vendas,3,4162,2,0,Não,4,Outro,Presencial,4,3,3,3,3,1,Sim,3,Não
706,Julia Borges Cavalcanti,646.038.609-94,34,Feminino,Casado,Não,Não,3,Ciência da Computação,2,Analista de QA,1,5,4,Sustentação,Não,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),2,3952.8,2,0,Não,1,Carro Próprio,Presencial,1,1,2,2,3,0,Não,2,Sim
707,Rodrigo Santos Ribeiro,256.417.101-05,44,Masculino,Solteiro,Não,Não,3,Bioinformática,5,Analista de QA,1,5,2,Inovação,Sim,Nao_Viaja,2,Pesquisa e Desenvolvimento (P&D),4,4449.6,4,1,Não,24,Outro,Presencial,3,3,3,1,3,0,Não,3,Sim
708,Rodrigo Siqueira Correia,667.560.528-37,28,Masculino,Solteiro,Não,Não,3,Bioinformática,4,Executivo(a) de Contas,2,5,4,Outros,Não,Raramente_Viaja,2,Vendas,3,8463,4,1,Não,5,Transporte público,Presencial,1,4,1,3,3,0,Não,3,Não
709,Breno Fernandes Araújo,595.061.143-82,44,Masculino,Solteiro,Não,Não,3,Ciência da Computação,5,Analista de QA,1,5,2,Inovação,Sim,Nao_Viaja,2,Pesquisa e Desenvolvimento (P&D),3,3794.4,1,0,Não,5,Outro,Remoto,3,4,3,2,3,0,Não,3,Não
710,Miguel Freitas Lopes,397.648.513-63,44,Masculino,Solteiro,Não,Não,3,Ciência da Computação,3,Engenheiro(a) de Machine Learning,1,5,2,Sustentação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),3,4446,4,1,Não,20,Carro Próprio,Presencial,2,3,2,3,3,0,Não,2,Sim
711,Helena Nunes Cavalcanti,326.581.338-04,34,Feminino,Solteiro,Não,Não,2,Bioinformática,2,Arquiteto(a) de Soluções,2,5,1,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),3,7769.63,3,4,Não,8,Transporte público,Remoto,4,4,3,3,3,3,Não,3,Não
712,Rafael Lima Ribeiro,982.034.707-69,35,Masculino,Solteiro,Não,Não,3,Ciência da Computação,2,Analista de QA,1,5,4,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),3,5076,2,4,Não,22,Carro Próprio,Presencial,3,3,3,1,3,0,Não,3,Sim
713,Guilherme Guimarães Lima,453.387.860-10,36,Masculino,Casado,Não,Não,3,Recursos Humanos,2,Analista de RH,1,5,2,Outros,Sim,Raramente_Viaja,3,Recursos Humanos,4,2143,3,0,Não,13,Outro,Presencial,2,2,2,3,3,1,Não,3,Não
714,Vera Ribeiro Nunes,011.759.785-66,54,Feminino,Divorciado,Não,Não,4,Bioinformática,4,Diretor(a) de Operações,2,5,3,Outros,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),4,9873,4,1,Não,19,Carro Próprio,Presencial,2,2,1,3,3,0,Sim,3,Sim
715,Julia Peixoto Teixeira,386.180.901-07,37,Feminino,Divorciado,Não,Não,1,Ciência da Computação,3,Engenheiro(a) de Machine Learning,1,5,3,Sustentação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),3,3616.6,3,4,Não,10,Outro,Presencial,1,2,1,3,3,1,Sim,2,Sim
716,Silvia Lima Miranda,411.115.894-37,27,Feminino,Divorciado,Não,Não,4,Bioinformática,5,Engenheiro(a) de Machine Learning,1,5,3,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),3,2843.1,4,0,Não,6,Outro,Presencial,2,3,3,2,3,3,Não,2,Sim
717,Alexandre Monteiro Lima,652.738.257-09,31,Masculino,Divorciado,Não,Não,3,Ciência da Computação,3,Gerente de Projetos,3,5,4,Sustentação,Sim,Raramente_Viaja,3,Vendas,1,11557,3,0,Não,7,Carro Próprio,Remoto,3,3,4,2,4,4,Não,2,Não
718,Beatriz Mendes Lima,778.304.222-81,35,Feminino,Solteiro,Não,Não,3,Bioinformática,3,Executivo(a) de Contas,2,5,4,Outros,Sim,Raramente_Viaja,3,Vendas,3,4859,2,0,Não,1,Outro,Remoto,3,4,3,3,3,1,Não,3,Não
719,Marcos Peixoto Freitas,582.866.377-12,32,Masculino,Solteiro,Não,Não,3,Bioinformática,5,Gerente de Projetos,3,5,2,Sustentação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),0,11244,3,0,Não,10,Transporte público,Remoto,4,2,4,3,4,2,Não,4,Não
720,Vinicius Peixoto Cunha,046.431.361-97,33,Masculino,Divorciado,Não,Não,4,Marketing,3,Executivo(a) de Contas,2,5,0,Inovação,Sim,Raramente_Viaja,2,Vendas,2,7104,4,1,Não,8,Carro Próprio,Remoto,4,4,3,3,3,0,Não,3,Não
721,Nicolas Carvalho Teixeira,916.020.802-32,26,Masculino,Casado,Não,Não,2,Marketing,5,Executivo(a) de Contas,2,5,3,Inovação,Sim,Raramente_Viaja,3,Vendas,4,6272,2,1,Não,28,Carro Próprio,Remoto,3,4,2,3,4,0,Não,4,Não
722,Francisco Correia Cavalcanti,479.054.053-70,30,Masculino,Divorciado,Não,Não,3,Ciência da Computação,3,Analista de RH,1,5,3,Outros,Sim,Raramente_Viaja,4,Recursos Humanos,3,2064,1,1,Não,1,Transporte público,Presencial,2,1,3,3,4,0,Não,4,Não
723,Antônio Borges Ferreira,487.608.596-01,28,Masculino,Solteiro,Não,Não,3,Bioinformática,3,Engenheiro(a) de Machine Learning,1,5,3,Inovação,Sim,Nao_Viaja,2,Pesquisa e Desenvolvimento (P&D),4,2787.2,2,1,Não,16,Transporte público,Remoto,3,3,3,3,3,1,Não,2,Sim
724,Marcos Moreira Moraes,307.933.603-82,36,Masculino,Casado,Não,Não,4,Ciência da Computação,3,Analista de QA,1,5,4,Inovação,Sim,Nao_Viaja,1,Pesquisa e Desenvolvimento (P&D),2,3372,2,0,Não,9,Transporte público,Presencial,2,2,2,4,4,0,Não,3,Não
725,Felipe Cavalcanti Peixoto,139.778.426-17,29,Masculino,Casado,Não,Não,3,Ciência da Computação,5,Arquiteto(a) de Soluções,2,5,3,Sustentação,Sim,Raramente_Viaja,1,Pesquisa e Desenvolvimento (P&D),2,6796.84,1,0,Não,1,Outro,Remoto,2,1,1,3,3,0,Não,2,Sim
726,Monica Teixeira Mendes,456.197.444-00,32,Feminino,Divorciado,Não,Não,4,Bioinformática,6,Arquiteto(a) de Soluções,2,5,1,Sustentação,Sim,Nao_Viaja,4,Pesquisa e Desenvolvimento (P&D),2,8433.76,2,1,Não,15,Carro Próprio,Presencial,4,2,4,3,3,1,Não,3,Sim
727,Vera Souza Correia,809.863.639-95,56,Feminino,Divorciado,Não,Não,4,Curso Técnico,2,Gerente de Projetos,5,5,2,Inovação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),2,19943,4,4,Não,4,Carro Próprio,Remoto,2,4,1,3,3,0,Não,3,Não
728,Silvia Lima Soares,103.401.423-40,29,Feminino,Casado,Não,Sim,1,Ciência da Computação,2,Engenheiro(a) de Machine Learning,1,5,4,Sustentação,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),3,2818.4,2,1,Não,15,Carro Próprio,Remoto,3,1,4,1,3,0,Sim,2,Sim
729,Breno Correia Borges,532.226.776-03,33,Masculino,Casado,Não,Não,3,Recursos Humanos,2,Analista de RH,1,5,4,Outros,Sim,Raramente_Viaja,2,Recursos Humanos,4,3600,3,1,Não,2,Transporte público,Presencial,4,4,3,3,3,0,Não,3,Sim
730,Renata Teixeira Cardoso,872.158.291-20,31,Feminino,Divorciado,Não,Não,2,Bioinformática,2,Executivo(a) de Contas,2,5,2,Outros,Sim,Raramente_Viaja,4,Vendas,4,6583,4,1,Não,10,Transporte público,Presencial,3,4,4,3,3,0,Sim,3,Não
731,Lucas Cavalcanti Duarte,835.788.890-91,27,Masculino,Casado,Não,Não,4,Curso Técnico,3,Engenheiro(a) de Machine Learning,1,5,3,Sustentação,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),2,2893.8,4,1,Não,2,Outro,Remoto,2,3,2,3,3,4,Não,2,Sim
732,Theo Lopes Silva,376.059.526-00,38,Masculino,Divorciado,Não,Não,2,Ciência da Computação,0,Engenheiro(a) de Machine Learning,1,5,2,Inovação,Não,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),3,6202.3,4,0,Não,9,Carro Próprio,Remoto,4,4,4,3,3,0,Não,4,Não
733,Sueli Ramos Dias,925.029.022-58,30,Feminino,Casado,Não,Sim,3,Ciência da Computação,2,Engenheiro(a) de Machine Learning,1,5,2,Sustentação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),1,2771.6,1,0,Não,22,Carro Próprio,Remoto,4,2,3,3,3,1,Sim,3,Sim
734,Regina Nunes Cardoso,548.554.095-37,41,Feminino,Casado,Não,Não,3,Marketing,3,Executivo(a) de Contas,2,5,4,Outros,Sim,Raramente_Viaja,2,Vendas,4,4393,3,1,Não,8,Transporte público,Remoto,3,3,2,3,4,0,Não,3,Não
735,Terezinha Santos Bastos,555.114.438-08,24,Feminino,Divorciado,Não,Não,4,Marketing,2,Executivo(a) de Contas,2,5,2,Outros,Sim,Raramente_Viaja,3,Vendas,3,4260,4,0,Não,10,Carro Próprio,Remoto,2,4,3,3,3,1,Sim,4,Não
736,Vera Mendes Santos,585.920.010-21,52,Feminino,Casado,Não,Não,4,Outros ,2,Analista de QA,1,5,4,Sustentação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),4,3540,2,0,Não,8,Transporte público,Remoto,1,3,1,3,3,0,Não,1,Não
737,Julia Rocha Freitas,113.035.116-57,36,Feminino,Solteiro,Não,Não,4,Marketing,3,Executivo(a) de Contas,2,5,4,Outros,Sim,Raramente_Viaja,2,Vendas,1,9278,4,0,Não,3,Outro,Presencial,2,4,2,3,3,1,Sim,3,Não
738,Marcia Melo Borges,147.486.020-66,52,Feminino,Casado,Não,Não,4,Ciência da Computação,3,Analista de QA,2,5,2,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),4,3778.8,2,1,Não,11,Transporte público,Remoto,2,2,3,3,4,2,Não,3,Não
739,Maria Andrade Pereira,014.999.691-80,47,Feminino,Divorciado,Não,Não,2,Bioinformática,2,Diretor(a) de Operações,2,5,0,Outros,Não,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),4,9126,1,0,Não,2,Transporte público,Presencial,3,3,4,3,3,0,Não,3,Não
740,Elaine Martins Nascimento,823.985.824-42,35,Feminino,Casado,Sim,Não,4,Ciência da Computação,5,SDR (Sales Development Representative),1,5,3,Outros,Sim,Raramente_Viaja,4,Vendas,2,2916,3,4,Não,28,Carro Próprio,Presencial,2,1,3,2,4,0,Não,3,Sim
741,Vera Gomes Almeida,757.202.440-85,43,Feminino,Divorciado,Não,Não,4,Outros ,3,Arquiteto(a) de Soluções,2,5,2,Inovação,Sim,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),2,5720.33,1,0,Não,8,Carro Próprio,Remoto,4,4,3,3,3,0,Sim,3,Sim
742,Larissa Almeida Borges,484.427.691-37,25,Feminino,Solteiro,Não,Não,2,Ciência da Computação,3,Executivo(a) de Contas,2,5,4,Outros,Sim,Raramente_Viaja,3,Vendas,3,4487,3,1,Não,4,Transporte público,Presencial,4,2,4,2,3,0,Sim,3,Sim
743,Carla Duarte Gomes,495.819.282-43,30,Feminino,Solteiro,Não,Não,3,Ciência da Computação,2,Diretor(a) de Operações,2,5,4,Outros,Não,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),2,10963.8,1,0,Não,2,Outro,Presencial,3,3,4,1,4,0,Não,3,Não
744,Francisco Pereira Lima,234.781.700-01,30,Masculino,Casado,Não,Não,3,Ciência da Computação,3,Analista de QA,1,5,3,Sustentação,Sim,Nao_Viaja,3,Pesquisa e Desenvolvimento (P&D),4,2516.4,3,1,Não,3,Carro Próprio,Remoto,4,3,4,3,3,0,Não,1,Não
745,Ricardo Moraes Rodrigues,084.147.730-28,33,Masculino,Solteiro,Não,Não,3,Ciência da Computação,2,Diretor(a) de Operações,2,5,3,Outros,Não,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),2,7776,4,0,Não,25,Carro Próprio,Presencial,2,4,2,2,3,3,Não,3,Sim
746,Leandro Cardoso Cavalcanti,987.078.947-16,45,Masculino,Casado,Não,Não,3,Curso Técnico,3,Engenheiro(a) de Machine Learning,1,5,4,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),3,2771.6,3,0,Não,28,Transporte público,Presencial,4,4,4,3,4,1,Não,3,Não
747,Antônia Teixeira Rodrigues,706.596.098-60,35,Feminino,Solteiro,Não,Não,4,Bioinformática,4,Arquiteto(a) de Soluções,2,5,2,Sustentação,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),4,7769.63,4,0,Não,10,Carro Próprio,Remoto,3,3,3,3,3,1,Sim,3,Sim
748,Luiz Oliveira Carvalho,234.805.661-54,25,Masculino,Casado,Não,Não,1,Outros ,3,Executivo(a) de Contas,2,5,3,Outros,Sim,Raramente_Viaja,2,Vendas,3,4194,4,0,Não,3,Transporte público,Presencial,1,4,1,3,3,0,Sim,3,Não
749,André Miranda Rocha,910.779.900-49,25,Masculino,Casado,Não,Não,1,Marketing,1,Executivo(a) de Contas,2,5,2,Outros,Sim,Raramente_Viaja,2,Vendas,3,4256,3,0,Não,4,Carro Próprio,Presencial,2,1,1,2,3,0,Não,4,Sim
750,Regina Carvalho Siqueira,430.001.408-67,34,Feminino,Solteiro,Não,Não,4,Ciência da Computação,3,Engenheiro(a) de Machine Learning,1,5,2,Sustentação,Sim,Frequentemente_Viaja,4,Pesquisa e Desenvolvimento (P&D),3,3318.9,2,1,Não,16,Outro,Presencial,3,3,4,2,3,0,Não,3,Sim
751,Enzo Bastos Cunha,980.854.202-60,44,Masculino,Solteiro,Não,Não,3,Bioinformática,2,Arquiteto(a) de Soluções,2,5,2,Sustentação,Não,Raramente_Viaja,2,Pesquisa e Desenvolvimento (P&D),3,7505.25,4,2,Não,4,Transporte público,Remoto,1,4,2,3,3,0,Não,2,Não
752,Claudia Borges Santos,156.540.539-06,30,Feminino,Solteiro,Não,Não,3,Curso Técnico,6,Executivo(a) de Contas,2,5,4,Outros,Sim,Raramente_Viaja,3,Vendas,4,6577,4,4,Não,12,Carro Próprio,Presencial,4,2,3,3,3,4,Não,3,Não
753,Mateus Gomes Azevedo,917.251.533-35,52,Masculino,Casado,Não,Não,3,Bioinformática,4,Diretor(a) de Operações,3,5,4,Outros,Sim,Raramente_Viaja,4,Pesquisa e Desenvolvimento (P&D),4,11953.5,2,0,Não,3,Transporte público,Presencial,3,3,3,2,3,0,Sim,3,Sim
754,Denise Campos Costa,426.636.184-03,52,Feminino,Casado,Sim,Não,2,Ciência da Computação,2,Gerente de Projetos,4,5,2,Inovação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),4,16555,4,1,Não,4,Carro Próprio,Remoto,3,4,4,3,3,0,Não,1,Não
755,Silvia Rocha Melo,097.879.240-81,42,Feminino,Divorciado,Não,Não,2,Ciência da Computação,3,Engenheiro(a) de Machine Learning,2,5,4,Sustentação,Sim,Frequentemente_Viaja,2,Pesquisa e Desenvolvimento (P&D),2,5922.8,4,0,Não,29,Carro Próprio,Presencial,4,2,3,3,3,0,Não,3,Sim
756,Fernando Ferreira Siqueira,084.224.023-35,49,Masculino,Solteiro,Não,Não,3,Outros ,2,Arquiteto(a) de Soluções,3,5,2,Sustentação,Sim,Raramente_Viaja,3,Pesquisa e Desenvolvimento (P&D),0,10965,4,0,Não,7,Carro Próprio,Remoto,4,3,3,2,4,0,Não,3,Sim
